domain,domain_display_name,model,metric_group,metric,subkey,value,count
real_validation,real_validation,tcd,per_channel,near_service_right,pck,0.005=0.941667; 0.01=0.983333; 0.02=0.991667; 0.05=0.991667,120
real_validation,real_validation,tcd,per_channel,near_service_right,pair_error_px.mean,3.35408,119
real_validation,real_validation,tcd,per_channel,far_service_t,pck,0.005=0.95; 0.01=0.975; 0.02=1; 0.05=1,120
real_validation,real_validation,tcd,per_channel,far_service_t,pair_error_px.mean,3.19474,120
real_validation,real_validation,tcd,per_channel,near_service_t,pck,0.005=0.941667; 0.01=0.983333; 0.02=0.983333; 0.05=0.991667,120
real_validation,real_validation,tcd,per_channel,near_service_t,pair_error_px.mean,3.22996,119
synthetic_test,synthetic_test,ours,keypoints,completeness,,1,
synthetic_test,synthetic_test,ours,keypoints,ground_truth_visible_keypoints,,1033,
synthetic_test,synthetic_test,ours,keypoints,pair_error_diagonal,count,1033,1033
synthetic_test,synthetic_test,ours,keypoints,pair_error_diagonal,mean,0.00640439,1033
synthetic_test,synthetic_test,ours,keypoints,pair_error_diagonal,median,0.00331814,1033
synthetic_test,synthetic_test,ours,keypoints,pair_error_diagonal,q90,0.0086509,1033
synthetic_test,synthetic_test,ours,keypoints,pair_error_px,count,1033,1033
synthetic_test,synthetic_test,ours,keypoints,pair_error_px,mean,7.04542,1033
synthetic_test,synthetic_test,ours,keypoints,pair_error_px,median,3.65025,1033
synthetic_test,synthetic_test,ours,keypoints,pair_error_px,q90,9.51679,1033
synthetic_test,synthetic_test,ours,keypoints,pck,0.005,0.714424,
synthetic_test,synthetic_test,ours,keypoints,pck,0.01,0.931268,
synthetic_test,synthetic_test,ours,keypoints,pck,0.02,0.981607,
synthetic_test,synthetic_test,ours,keypoints,pck,0.05,0.99516,
synthetic_test,synthetic_test,ours,keypoints,predicted_valid_keypoints_among_visible,,1033,
synthetic_test,synthetic_test,ours,keypoints,sample_count,,120,
synthetic_test,synthetic_test,ours,alignment,doubles_polygon_iou,count,50,50
synthetic_test,synthetic_test,ours,alignment,doubles_polygon_iou,mean,0.900291,50
synthetic_test,synthetic_test,ours,alignment,doubles_polygon_iou,median,0.949045,50
synthetic_test,synthetic_test,ours,alignment,doubles_polygon_iou,q90,0.98663,50
synthetic_test,synthetic_test,ours,alignment,ground_truth_homography_success,,120,
synthetic_test,synthetic_test,ours,alignment,line_reprojection_diagonal,count,120,120
synthetic_test,synthetic_test,ours,alignment,line_reprojection_diagonal,mean,1.83317,120
synthetic_test,synthetic_test,ours,alignment,line_reprojection_diagonal,median,0.383692,120
synthetic_test,synthetic_test,ours,alignment,line_reprojection_diagonal,q90,4.13373,120
synthetic_test,synthetic_test,ours,alignment,line_reprojection_in_frame_diagonal,count,120,120
synthetic_test,synthetic_test,ours,alignment,line_reprojection_in_frame_diagonal,mean,0.0515941,120
synthetic_test,synthetic_test,ours,alignment,line_reprojection_in_frame_diagonal,median,0.00675075,120
synthetic_test,synthetic_test,ours,alignment,line_reprojection_in_frame_diagonal,q90,0.181141,120
synthetic_test,synthetic_test,ours,alignment,line_reprojection_in_frame_px,count,120,120
synthetic_test,synthetic_test,ours,alignment,line_reprojection_in_frame_px,mean,56.7582,120
synthetic_test,synthetic_test,ours,alignment,line_reprojection_in_frame_px,median,7.42644,120
synthetic_test,synthetic_test,ours,alignment,line_reprojection_in_frame_px,q90,199.272,120
synthetic_test,synthetic_test,ours,alignment,line_reprojection_px,count,120,120
synthetic_test,synthetic_test,ours,alignment,line_reprojection_px,mean,2016.66,120
synthetic_test,synthetic_test,ours,alignment,line_reprojection_px,median,422.096,120
synthetic_test,synthetic_test,ours,alignment,line_reprojection_px,q90,4547.49,120
synthetic_test,synthetic_test,ours,alignment,line_samples_in_frame,,23347,23347
synthetic_test,synthetic_test,ours,alignment,line_samples_in_frame_fraction,,0.712668,
synthetic_test,synthetic_test,ours,alignment,line_samples_total,,32760,32760
synthetic_test,synthetic_test,ours,alignment,predicted_homography_inliers_on_success,count,120,120
synthetic_test,synthetic_test,ours,alignment,predicted_homography_inliers_on_success,mean,8.49167,120
synthetic_test,synthetic_test,ours,alignment,predicted_homography_inliers_on_success,median,9,120
synthetic_test,synthetic_test,ours,alignment,predicted_homography_inliers_on_success,q90,12,120
synthetic_test,synthetic_test,ours,alignment,predicted_homography_success,,120,
synthetic_test,synthetic_test,ours,alignment,predicted_homography_success_rate,,1,
synthetic_test,synthetic_test,ours,alignment,sample_count,,120,
synthetic_test,synthetic_test,ours,alignment,undefined_reasons,degenerate_polygon,70,
synthetic_test,synthetic_test,ours,per_channel,far_doubles_left,pck,0.005=0.75; 0.01=0.94; 0.02=0.99; 0.05=1,100
synthetic_test,synthetic_test,ours,per_channel,far_doubles_left,pair_error_px.mean,4.69274,100
synthetic_test,synthetic_test,ours,per_channel,far_doubles_right,pck,0.005=0.596154; 0.01=0.894231; 0.02=0.980769; 0.05=1,104
synthetic_test,synthetic_test,ours,per_channel,far_doubles_right,pair_error_px.mean,5.99986,104
synthetic_test,synthetic_test,ours,per_channel,near_doubles_left,pck,0.005=0.736842; 0.01=0.894737; 0.02=1; 0.05=1,19
synthetic_test,synthetic_test,ours,per_channel,near_doubles_left,pair_error_px.mean,4.77883,19
synthetic_test,synthetic_test,ours,per_channel,near_doubles_right,pck,0.005=0.444444; 0.01=0.777778; 0.02=0.888889; 0.05=1,9
synthetic_test,synthetic_test,ours,per_channel,near_doubles_right,pair_error_px.mean,11.5351,9
synthetic_test,synthetic_test,ours,per_channel,far_singles_left,pck,0.005=0.666667; 0.01=0.960784; 0.02=0.990196; 0.05=1,102
synthetic_test,synthetic_test,ours,per_channel,far_singles_left,pair_error_px.mean,4.91072,102
synthetic_test,synthetic_test,ours,per_channel,near_singles_left,pck,0.005=0.722222; 0.01=1; 0.02=1; 0.05=1,18
synthetic_test,synthetic_test,ours,per_channel,near_singles_left,pair_error_px.mean,4.56102,18
synthetic_test,synthetic_test,ours,per_channel,far_singles_right,pck,0.005=0.548077; 0.01=0.865385; 0.02=0.980769; 0.05=1,104
synthetic_test,synthetic_test,ours,per_channel,far_singles_right,pair_error_px.mean,6.21374,104
synthetic_test,synthetic_test,ours,per_channel,near_singles_right,pck,0.005=0.538462; 0.01=0.615385; 0.02=0.923077; 0.05=1,13
synthetic_test,synthetic_test,ours,per_channel,near_singles_right,pair_error_px.mean,9.35423,13
